filename,decision,destination
Arigo et al. - 2022 - Development and Initial Testing of a Personalized Adaptive and Socially Focused Web Tool to Support.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Arigo et al. - 2022 - Development and Initial Testing of a Personalized Adaptive and Socially Focused Web Tool to Support.txt
Aripiyanto S. et al. - 2022 - Usability Improvement Through User Interface Design with Human Centered Design HCD Method on Junior.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Aripiyanto S. et al. - 2022 - Usability Improvement Through User Interface Design with Human Centered Design HCD Method on Junior.txt
Arrivillaga et al. - 2020 - Innovative prototypes for cervical cancer prevention in low income primary care settings A human cen.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Arrivillaga et al. - 2020 - Innovative prototypes for cervical cancer prevention in low income primary care settings A human cen.txt
Asadipour et al. - 2020 - A technology aided multi modal training approach to assist abdominal palpation training and its asse.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Asadipour et al. - 2020 - A technology aided multi modal training approach to assist abdominal palpation training and its asse.txt
Azad C.L. et al. - 2024 - Developing a multimedia patient reported outcomes measure for low literacy patients with a human cen.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Azad C.L. et al. - 2024 - Developing a multimedia patient reported outcomes measure for low literacy patients with a human cen.txt
Baca J. et al. - 2007 - ezHPC Adopting a program wide user centered design approach to the ezHPC user interface.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Baca J. et al. - 2007 - ezHPC Adopting a program wide user centered design approach to the ezHPC user interface.txt
Bairagi N. and Mahajani P. - 2021 - Redesigning Walker for Elderly.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bairagi N. and Mahajani P. - 2021 - Redesigning Walker for Elderly.txt
Ballester et al. - 2021 - A Mobile Electronic Health Record Connected Application for Managing Team Workflows in Inpatient Car.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Ballester et al. - 2021 - A Mobile Electronic Health Record Connected Application for Managing Team Workflows in Inpatient Car.txt
Bangash et al. - 2020 - An Implementation Science Framework to Develop a Clinical Decision Support Tool for Familial Hyperch.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bangash et al. - 2020 - An Implementation Science Framework to Develop a Clinical Decision Support Tool for Familial Hyperch.txt
Bangash et al. - 2022 - Web Based Tool FH Family Share to Increase Uptake of Cascade Testing for Familial Hypercholesterolem.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bangash et al. - 2022 - Web Based Tool FH Family Share to Increase Uptake of Cascade Testing for Familial Hypercholesterolem.txt
Bangerter et al. - 2022 - A hybrid method of healthcare delivery research and human centered design to develop technology enab.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bangerter et al. - 2022 - A hybrid method of healthcare delivery research and human centered design to develop technology enab.txt
Barakat A. et al. - 2022 - AN INTEGRATED APPROACH TO USER CENTERED DESIGN MOBILE BRAIN HEART IMAGING IN VIRTUAL REALITY.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Barakat A. et al. - 2022 - AN INTEGRATED APPROACH TO USER CENTERED DESIGN MOBILE BRAIN HEART IMAGING IN VIRTUAL REALITY.txt
Barr et al. - 2021 - An Audio Personal Health Library of Clinic Visit Recordings for Patients and Their Caregivers Health.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Barr et al. - 2021 - An Audio Personal Health Library of Clinic Visit Recordings for Patients and Their Caregivers Health.txt
Barwick M - 2023 - The Implementation Playbook study protocol for the development and feasibility evaluation of a digit.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Barwick M - 2023 - The Implementation Playbook study protocol for the development and feasibility evaluation of a digit.txt
Beeman et al. - 2023 - Using human centered design to co design dedicated menstrual health spaces with people who menstruat.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Beeman et al. - 2023 - Using human centered design to co design dedicated menstrual health spaces with people who menstruat.txt
Belden JL - 2019 - Designing a medication timeline for patients and physicians.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Belden JL - 2019 - Designing a medication timeline for patients and physicians.txt
Bernard J. et al. - 2015 - VisInfo a digital library system for time series research data based on exploratory search a user ce.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bernard J. et al. - 2015 - VisInfo a digital library system for time series research data based on exploratory search a user ce.txt
Beutter C.N.L. et al. - 2023 - User Centered Development of a Mobile App to Assess the Quality of Life of Patients With Cancer Iter.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Beutter C.N.L. et al. - 2023 - User Centered Development of a Mobile App to Assess the Quality of Life of Patients With Cancer Iter.txt
Bilardi J. et al. - 2023 - Miscarriage Australia the use of a human centered design approach to design and develop a website fo.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bilardi J. et al. - 2023 - Miscarriage Australia the use of a human centered design approach to design and develop a website fo.txt
Bilodeau et al. - 2019 - Reducing complexity of patient decision aids for community based older adults with dementia and thei.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bilodeau et al. - 2019 - Reducing complexity of patient decision aids for community based older adults with dementia and thei.txt
Bjorling and Rose - 2019 - Participatory Research Principles in Human Centered Design Engaging Teens in the Co Design of a Soci.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bjorling and Rose - 2019 - Participatory Research Principles in Human Centered Design Engaging Teens in the Co Design of a Soci.txt
Bjorling et al. - 2019 - Thought Disposal Co Designing a virtual interaction to reduce stress in teens.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bjorling et al. - 2019 - Thought Disposal Co Designing a virtual interaction to reduce stress in teens.txt
Blazey et al. - 2023 - Designing a Dyad Based Digital Health Intervention to Reduce Sedentary Time in Black Breast Cancer S.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Blazey et al. - 2023 - Designing a Dyad Based Digital Health Intervention to Reduce Sedentary Time in Black Breast Cancer S.txt
Block et al. - 2024 - A Closed Loop Falls Monitoring and Prevention App for Multiple Sclerosis Clinical Practice Human Cen.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Block et al. - 2024 - A Closed Loop Falls Monitoring and Prevention App for Multiple Sclerosis Clinical Practice Human Cen.txt
Blynn E. et al. - 2021 - Integrating Human Centered Design to Advance Global Health Lessons from 3 Programs.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Blynn E. et al. - 2021 - Integrating Human Centered Design to Advance Global Health Lessons from 3 Programs.txt
Boehmer et al. - 2016 - Meaningful conversations in living with and treating chronic conditions development of the ICAN disc.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Boehmer et al. - 2016 - Meaningful conversations in living with and treating chronic conditions development of the ICAN disc.txt
Bogza et al. - 2020 - User Centered Design and Evaluation of a Web Based Decision Aid for Older Adults Living With Mild Co.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bogza et al. - 2020 - User Centered Design and Evaluation of a Web Based Decision Aid for Older Adults Living With Mild Co.txt
Bonet-Olivencia et al. - 2023 - User Centered Design of a Diabetes Self Management Tool for Underserved Populations.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Bonet-Olivencia et al. - 2023 - User Centered Design of a Diabetes Self Management Tool for Underserved Populations.txt
Borosund et al. - 2023 - Digital Cognitive Behavioral and Mindfulness Based Stress Management Interventions for Survivors of.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Borosund et al. - 2023 - Digital Cognitive Behavioral and Mindfulness Based Stress Management Interventions for Survivors of.txt
Bos et al. - 2022 - A Web Based Application for Personalized Ecological Momentary Assessment in Psychiatric Care User Ce.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Bos et al. - 2022 - A Web Based Application for Personalized Ecological Momentary Assessment in Psychiatric Care User Ce.txt
Boy - 2012 - What do we mean by Human Centered Design of Life Critical Systems.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Boy - 2012 - What do we mean by Human Centered Design of Life Critical Systems.txt
Breeman et al. - 2021 - A multi stakeholder approach to eHealth development Promoting sustained healthy living among cardiov.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Breeman et al. - 2021 - A multi stakeholder approach to eHealth development Promoting sustained healthy living among cardiov.txt
Brown M.C. et al. - 2024 - Codesigning Online Continuing Medical Education on Social Health Integration and Social Risk Informe.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Brown M.C. et al. - 2024 - Codesigning Online Continuing Medical Education on Social Health Integration and Social Risk Informe.txt
Buck B - 2023 - User Centered Development of Bolster an mHealth Intervention for Early Psychosis Caregivers Needs As.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Buck B - 2023 - User Centered Development of Bolster an mHealth Intervention for Early Psychosis Caregivers Needs As.txt
Burchert et al. - 2019 - User Centered App Adaptation of a Low Intensity E Mental Health Intervention for Syrian Refugees.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Burchert et al. - 2019 - User Centered App Adaptation of a Low Intensity E Mental Health Intervention for Syrian Refugees.txt
Borosund E - 2018 - A Stress Management App Intervention for Cancer Survivors Design Development and Usability Testing.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Borosund E - 2018 - A Stress Management App Intervention for Cancer Survivors Design Development and Usability Testing.txt
Cafazzo et al. - 2012 - Design of an mHealth App for the Self management of Adolescent Type 1 Diabetes A Pilot Study.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Cafazzo et al. - 2012 - Design of an mHealth App for the Self management of Adolescent Type 1 Diabetes A Pilot Study.txt
Cai et al. - 2017 - Developing and Evaluating JIApp Acceptability and Usability of a Smartphone App System to Improve Se.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Cai et al. - 2017 - Developing and Evaluating JIApp Acceptability and Usability of a Smartphone App System to Improve Se.txt
Calvillo-Arbizu et al. - 2019 - User centred design for developing e Health system for renal patients at home AppNephro.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Calvillo-Arbizu et al. - 2019 - User centred design for developing e Health system for renal patients at home AppNephro.txt
Carayon et al. - 2022 - Human centered design of team health IT for pediatric trauma care transitions.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Carayon et al. - 2022 - Human centered design of team health IT for pediatric trauma care transitions.txt
Dirin et al. - 2015 - User Centered Design of a Context Aware Nurse Assistant CANA at Finnish Elderly Houses.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Dirin et al. - 2015 - User Centered Design of a Context Aware Nurse Assistant CANA at Finnish Elderly Houses.txt
Dixit et al. - 2020 - Rapid development of visualization dashboards to enhance situation awareness of COVID 19 telehealth.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Dixit et al. - 2020 - Rapid development of visualization dashboards to enhance situation awareness of COVID 19 telehealth.txt
Doering N. et al. - 2015 - User Centered Design and Evaluation of a Mobile Shopping Robot.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Doering N. et al. - 2015 - User Centered Design and Evaluation of a Mobile Shopping Robot.txt
Doyle AM - 2019 - Challenges and opportunities in evaluating programmes incorporating human centred design lessons lea.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Doyle AM - 2019 - Challenges and opportunities in evaluating programmes incorporating human centred design lessons lea.txt
Doyle et al. - 2021 - A Digital Platform to Support Self management of Multiple Chronic Conditions ProACT Findings in Rela.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Doyle et al. - 2021 - A Digital Platform to Support Self management of Multiple Chronic Conditions ProACT Findings in Rela.txt
Dufendach et al. - 2017 - A Randomized Trial Comparing Classical Participatory Design to VandAID an Interactive CrowdSourcing.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Dufendach et al. - 2017 - A Randomized Trial Comparing Classical Participatory Design to VandAID an Interactive CrowdSourcing.txt
Ede et al. - 2023 - Building a Covid 19 secure intensive care unit A human centred design approach.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Ede et al. - 2023 - Building a Covid 19 secure intensive care unit A human centred design approach.txt
Ekstedt et al. - 2022 - Design and Development of an eHealth Service for Collaborative Self Management among Older Adults wi.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Ekstedt et al. - 2022 - Design and Development of an eHealth Service for Collaborative Self Management among Older Adults wi.txt
Faiola et al. - 2018 - HYPOalert Designing Mobile Technology for Hypoglycemic Detection and Monitoring Based on Human Breat.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Faiola et al. - 2018 - HYPOalert Designing Mobile Technology for Hypoglycemic Detection and Monitoring Based on Human Breat.txt
Fakoya et al. - 2022 - Enhancing Human Centered Design With Youth Led Participatory Action Research Approaches for Adolesce.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Fakoya et al. - 2022 - Enhancing Human Centered Design With Youth Led Participatory Action Research Approaches for Adolesce.txt
Fanio et al. - 2023 - Designing for patient decision making Design challenges generated by patients with atrial fibrillati.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Fanio et al. - 2023 - Designing for patient decision making Design challenges generated by patients with atrial fibrillati.txt
Farinango et al. - 2018 - Human centered design of a personal health record system for metabolic syndrome management based on.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Farinango et al. - 2018 - Human centered design of a personal health record system for metabolic syndrome management based on.txt
Farrell D. et al. - 2011 - Developing e Bug web games to teach microbiology.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Farrell D. et al. - 2011 - Developing e Bug web games to teach microbiology.txt
Fassl M. et al. - 2021 - Exploring user centered security design for usable authentication ceremonies.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Fassl M. et al. - 2021 - Exploring user centered security design for usable authentication ceremonies.txt
Fauzan M.A. et al. - 2023 - User Interface Design for A University E Library Mobile App Using User Centered Design.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Fauzan M.A. et al. - 2023 - User Interface Design for A University E Library Mobile App Using User Centered Design.txt
Fazaeli et al. - 2021 - Development Implementation and User Evaluation of COVID 19 Dashboard in a Third Level Hospital in Ir.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Fazaeli et al. - 2021 - Development Implementation and User Evaluation of COVID 19 Dashboard in a Third Level Hospital in Ir.txt
Fico et al. - 2019 - User Centered Design to Improve Information Exchange in Diabetes Care Through eHealth Results from a.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Fico et al. - 2019 - User Centered Design to Improve Information Exchange in Diabetes Care Through eHealth Results from a.txt
Forbush et al. - 2023 - The Building Healthy Eating and Self Esteem Together for University Students Mobile App to Treat Eat.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Forbush et al. - 2023 - The Building Healthy Eating and Self Esteem Together for University Students Mobile App to Treat Eat.txt
Franklin PD - 2022 - Web Based System to Capture Consistent and Complete Real world Data of Physical Therapy Intervention.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Franklin PD - 2022 - Web Based System to Capture Consistent and Complete Real world Data of Physical Therapy Intervention.txt
Gagnon Shaigetz V - 2021 - An Immersive and Interactive Platform for Cognitive Assessment and Rehabilitation bWell Design and I.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Gagnon Shaigetz V - 2021 - An Immersive and Interactive Platform for Cognitive Assessment and Rehabilitation bWell Design and I.txt
Gan et al. - 2023 - Promoting Engagement With Smartphone Apps for Suicidal Ideation in Young People Development of an Ad.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Gan et al. - 2023 - Promoting Engagement With Smartphone Apps for Suicidal Ideation in Young People Development of an Ad.txt
Garabedian et al. - 2022 - Human centered design of clinical decision support for management of hypertension with chronic kidne.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Garabedian et al. - 2022 - Human centered design of clinical decision support for management of hypertension with chronic kidne.txt
Garber et al. - 2023 - Developing pilot testing and refining requirements for 3 EHR integrated interventions to improve dia.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Garber et al. - 2023 - Developing pilot testing and refining requirements for 3 EHR integrated interventions to improve dia.txt
Garcia S A. et al. - 2022 - CitrusGenome Applying User Centered Design for Evaluating the Usability of Genomic User Interfaces.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Garcia S A. et al. - 2022 - CitrusGenome Applying User Centered Design for Evaluating the Usability of Genomic User Interfaces.txt
Garvelink MM - 2016 - Development of a decision guide to support the elderly in decision making about location of care an.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Garvelink MM - 2016 - Development of a decision guide to support the elderly in decision making about location of care an.txt
Garzo et al. - 2018 - Design and development of a gait training system for Parkinson s disease.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Garzo et al. - 2018 - Design and development of a gait training system for Parkinson s disease.txt
Gaudaen J.C. et al. - 2023 - Usability Enhancements to a Prototype Clinical Decision Support System for Combat Medics.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Gaudaen J.C. et al. - 2023 - Usability Enhancements to a Prototype Clinical Decision Support System for Combat Medics.txt
Gherardini et al. - 2017 - A systematic user centred framework for engineering product design in small and medium sized enterpr.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Gherardini et al. - 2017 - A systematic user centred framework for engineering product design in small and medium sized enterpr.txt
Giguere AMC - 2018 - Tailoring and evaluating an intervention to improve shared decision making among seniors with dement.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Giguere AMC - 2018 - Tailoring and evaluating an intervention to improve shared decision making among seniors with dement.txt
Gill RK - 2019 - Feasibility and Acceptability of a Mobile Technology Intervention to Support Postabortion Care The F.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Gill RK - 2019 - Feasibility and Acceptability of a Mobile Technology Intervention to Support Postabortion Care The F.txt
Giuliani et al. - 2020 - User centred design and evaluation of a tele operated echocardiography robot.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Giuliani et al. - 2020 - User centred design and evaluation of a tele operated echocardiography robot.txt
Goode et al. - 2022 - Applying a User Centred Design Approach to Optimise a Workplace Initiative for Wide Scale Implementa.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Goode et al. - 2022 - Applying a User Centred Design Approach to Optimise a Workplace Initiative for Wide Scale Implementa.txt
Graham et al. - 2021 - Integrating User Centered Design and Behavioral Science to Design a Mobile Intervention for Obesity.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Graham et al. - 2021 - Integrating User Centered Design and Behavioral Science to Design a Mobile Intervention for Obesity.txt
Green R. et al. - 2015 - Tracking Care in the Emergency Department.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Green R. et al. - 2015 - Tracking Care in the Emergency Department.txt
Gresh et al. - 2023 - Adapting group care to the postpartum period using a human centered design approach in Malawi.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Gresh et al. - 2023 - Adapting group care to the postpartum period using a human centered design approach in Malawi.txt
Ha et al. - 2023 - Digital Health Equity and Tailored Health Care Service for People With Disability User Centered Desi.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Ha et al. - 2023 - Digital Health Equity and Tailored Health Care Service for People With Disability User Centered Desi.txt
Haines et al. - 2021 - Harmonizing evidence based practice implementation context and implementation strategies with user c.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Haines et al. - 2021 - Harmonizing evidence based practice implementation context and implementation strategies with user c.txt
Hall et al. - 2023 - Co designing an Integrated Health and Social Care Hub With and for Families Experiencing Adversity.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Hall et al. - 2023 - Co designing an Integrated Health and Social Care Hub With and for Families Experiencing Adversity.txt
Hartzler AL - 2015 - Integrating Patient Reported Outcomes into Spine Surgical Care through Visual Dashboards Lessons Lea.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Hartzler AL - 2015 - Integrating Patient Reported Outcomes into Spine Surgical Care through Visual Dashboards Lessons Lea.txt
Hartzler et al. - 2022 - Take on transplant human centered design of a patient education tool to facilitate informed discussi.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Hartzler et al. - 2022 - Take on transplant human centered design of a patient education tool to facilitate informed discussi.txt
He et al. - 2019 - ALOHA developing an interactive graph based visualization for dietary supplement knowledge graph thr.txt,include,data\fulltext_screening\sorted_based_on_decision\included\He et al. - 2019 - ALOHA developing an interactive graph based visualization for dietary supplement knowledge graph thr.txt
He et al. - 2020 - User centered design of a web based crowdsourcing integrated semantic text annotation tool for build.txt,include,data\fulltext_screening\sorted_based_on_decision\included\He et al. - 2020 - User centered design of a web based crowdsourcing integrated semantic text annotation tool for build.txt
Hearn et al. - 2022 - A digital self care intervention for Ugandan patients with heart failure and their clinicians User c.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Hearn et al. - 2022 - A digital self care intervention for Ugandan patients with heart failure and their clinicians User c.txt
Hemingway et al. - 2019 - Development of a Mobile Game to Influence Behavior Determinants of HIV Service Uptake Among Key Popu.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Hemingway et al. - 2019 - Development of a Mobile Game to Influence Behavior Determinants of HIV Service Uptake Among Key Popu.txt
Hennig S. - 2022 - Contributing to Planning for Sustainability Advancing User Involvement for User Centred Geoparticipa.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Hennig S. - 2022 - Contributing to Planning for Sustainability Advancing User Involvement for User Centred Geoparticipa.txt
Honary et al. - 2018 - A Web Based Intervention for Relatives of People Experiencing Psychosis or Bipolar Disorder Design S.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Honary et al. - 2018 - A Web Based Intervention for Relatives of People Experiencing Psychosis or Bipolar Disorder Design S.txt
Huber S. et al. - 2022 - Toward User Experience in ATC Exploring Novel Interface Concepts for Air Traffic Control.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Huber S. et al. - 2022 - Toward User Experience in ATC Exploring Novel Interface Concepts for Air Traffic Control.txt
Huwa J. et al. - 2023 - It reminds me and motivates me Human centered design and implementation of an interactive SMS based.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Huwa J. et al. - 2023 - It reminds me and motivates me Human centered design and implementation of an interactive SMS based.txt
Hwang et al. - 2022 - A Clinical Decision Support System for Sleep Staging Tasks With Explanations From Artificial Intelli.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Hwang et al. - 2022 - A Clinical Decision Support System for Sleep Staging Tasks With Explanations From Artificial Intelli.txt
Iglesias et al. - 2024 - The Town Crier A Use Case Design and Implementation for a Socially Assistive Robot in Retirement Hom.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Iglesias et al. - 2024 - The Town Crier A Use Case Design and Implementation for a Socially Assistive Robot in Retirement Hom.txt
Catalani et al. - 2014 - A Clinical Decision Support System for Integrating Tuberculosis and HIV Care in Kenya A Human Center.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Catalani et al. - 2014 - A Clinical Decision Support System for Integrating Tuberculosis and HIV Care in Kenya A Human Center.txt
Cenka B.A.N. et al. - 2023 - The Third Wave of Self Regulated Learning s Measurement and Intervention Tools Designing Diaria as a.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Cenka B.A.N. et al. - 2023 - The Third Wave of Self Regulated Learning s Measurement and Intervention Tools Designing Diaria as a.txt
Chacon-Cifuentes et al. - 2020 - Interdisciplinary Approach of the Design Process for the Application of New Materials in Wheelchair.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Chacon-Cifuentes et al. - 2020 - Interdisciplinary Approach of the Design Process for the Application of New Materials in Wheelchair.txt
Chan K.H. et al. - 2020 - User centered development of a hypospadias decision aid prototype.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Chan K.H. et al. - 2020 - User centered development of a hypospadias decision aid prototype.txt
Chartomatsidis M. and Goumopoulos C. - 2020 - Development and evaluation of a motion based exercise game for balance improvement.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Chartomatsidis M. and Goumopoulos C. - 2020 - Development and evaluation of a motion based exercise game for balance improvement.txt
Chatterjee et al. - 2022 - ProHealth eCoach user centered design and development of an eCoach app to promote healthy lifestyle.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Chatterjee et al. - 2022 - ProHealth eCoach user centered design and development of an eCoach app to promote healthy lifestyle.txt
Chen et al. - 2024 - MyTrack plus Human centered design of an mHealth app to support long term weight loss maintenance.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Chen et al. - 2024 - MyTrack plus Human centered design of an mHealth app to support long term weight loss maintenance.txt
Chen Y - 2021 - An Intelligent Individualized Cardiovascular App for Risk Elimination iCARE for Individuals With Cor.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Chen Y - 2021 - An Intelligent Individualized Cardiovascular App for Risk Elimination iCARE for Individuals With Cor.txt
Cheng S.C. et al. - 2024 - Co Production of a Cognitive Behavioral Therapy Digital Platform for Families of Individuals Impacte.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Cheng S.C. et al. - 2024 - Co Production of a Cognitive Behavioral Therapy Digital Platform for Families of Individuals Impacte.txt
Chengang et al. - 2024 - Multi stage optimization strategy based on contextual analysis to create M health components for cas.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Chengang et al. - 2024 - Multi stage optimization strategy based on contextual analysis to create M health components for cas.txt
Chu et al. - 2021 - Exergaming Platform for Older Adults Residing in Long Term Care Homes User Centered Design Developme.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Chu et al. - 2021 - Exergaming Platform for Older Adults Residing in Long Term Care Homes User Centered Design Developme.txt
Clack et al. - 2019 - User centred participatory design of visual cues for isolation precautions.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Clack et al. - 2019 - User centred participatory design of visual cues for isolation precautions.txt
